
Program started.
LIA initialized.
12/02/2026 13:50:47,547
Start polling data: time, freq, R, phase.	12/02/2026 13:51:10,269
2,27156514E+1	5,93206009E+6	1,84191833E-4	1,60887136E+2	
2,28679862E+1	5,93206009E+6	1,84198938E-4	1,60880476E+2	
2,30203210E+1	5,93206009E+6	1,84242244E-4	1,60895621E+2	
2,30206123E+1	5,93206009E+6	1,84242105E-4	1,60896183E+2	
2,31720732E+1	5,93206009E+6	1,84202316E-4	1,60894391E+2	
2,33235342E+1	5,93206009E+6	1,84214618E-4	1,60882063E+2	
2,33238255E+1	5,93206009E+6	1,84217707E-4	1,60881959E+2	
2,34738301E+1	5,93206009E+6	1,84270869E-4	1,60889183E+2	
2,36238347E+1	5,93206009E+6	1,84149825E-4	1,60882286E+2	
2,36241260E+1	5,93206009E+6	1,84149013E-4	1,60882125E+2	
2,37758783E+1	5,93206009E+6	1,84349351E-4	1,60886896E+2	
2,39276305E+1	5,93206009E+6	1,84360054E-4	1,60884922E+2	
2,39279218E+1	5,93206009E+6	1,84360277E-4	1,60884979E+2	
2,40782177E+1	5,93206009E+6	1,84251164E-4	1,60895331E+2	
2,42282223E+1	5,93206009E+6	1,84389264E-4	1,60886690E+2	
2,42285136E+1	5,93206009E+6	1,84391804E-4	1,60886426E+2	
2,43793920E+1	5,93206009E+6	1,84356371E-4	1,60897114E+2	
2,45299792E+1	5,93206009E+6	1,84237862E-4	1,60883953E+2	
2,45302704E+1	5,93206009E+6	1,84241169E-4	1,60884166E+2	
2,46808576E+1	5,93206009E+6	1,84329704E-4	1,60882073E+2	
2,48314448E+1	5,93206009E+6	1,84245242E-4	1,60887003E+2	
2,48317360E+1	5,93206009E+6	1,84246605E-4	1,60886252E+2	
2,49820319E+1	5,93206009E+6	1,84200227E-4	1,60891956E+2	
2,51323278E+1	5,93206009E+6	1,84213519E-4	1,60891093E+2	
2,51326191E+1	5,93206009E+6	1,84212193E-4	1,60891186E+2	
2,52843713E+1	5,93206009E+6	1,84249545E-4	1,60912528E+2	
2,54361236E+1	5,93206009E+6	1,84171668E-4	1,60877293E+2	
2,54364149E+1	5,93206009E+6	1,84169921E-4	1,60877464E+2	
2,55890409E+1	5,93206009E+6	1,84262410E-4	1,60891964E+2	
2,57416670E+1	5,93206009E+6	1,84223818E-4	1,60894498E+2	
2,57419583E+1	5,93206009E+6	1,84221601E-4	1,60894341E+2	
2,58922542E+1	5,93206009E+6	1,84330643E-4	1,60898258E+2	
2,60425500E+1	5,93206009E+6	1,84328799E-4	1,60883236E+2	
2,60428413E+1	5,93206009E+6	1,84329563E-4	1,60882665E+2	
2,61954674E+1	5,93206009E+6	1,84324402E-4	1,60884102E+2	
2,63480934E+1	5,93206009E+6	1,84368253E-4	1,60897304E+2	
2,63483847E+1	5,93206009E+6	1,84367909E-4	1,60897797E+2	
2,64992631E+1	5,93206009E+6	1,84322727E-4	1,60893065E+2	
2,66498503E+1	5,93206009E+6	1,84350597E-4	1,60898236E+2	
2,66501416E+1	5,93206009E+6	1,84350758E-4	1,60898427E+2	
2,68021851E+1	5,93206009E+6	1,84265531E-4	1,60893092E+2	
2,69542286E+1	5,93206009E+6	1,84419937E-4	1,60891179E+2	
2,69545199E+1	5,93206009E+6	1,84418979E-4	1,60891366E+2	
2,71074372E+1	5,93206009E+6	1,84328857E-4	1,60898302E+2	
2,72603546E+1	5,93206009E+6	1,84350493E-4	1,60899214E+2	
2,72606458E+1	5,93206009E+6	1,84349012E-4	1,60899039E+2	
2,74121068E+1	5,93206009E+6	1,84380964E-4	1,60903114E+2	
2,75635678E+1	5,93206009E+6	1,84381635E-4	1,60890766E+2	
2,75638591E+1	5,93206009E+6	1,84382702E-4	1,60890564E+2	
2,77138637E+1	5,93206009E+6	1,84391614E-4	1,60896741E+2	
2,78638683E+1	5,93206009E+6	1,84285259E-4	1,60893004E+2	
2,78641596E+1	5,93206009E+6	1,84287151E-4	1,60892673E+2	
2,80141642E+1	5,93206009E+6	1,84351861E-4	1,60893978E+2	
2,81641688E+1	5,93206009E+6	1,84351054E-4	1,60902301E+2	
2,81644601E+1	5,93206009E+6	1,84350728E-4	1,60902322E+2	
2,83159211E+1	5,93206009E+6	1,84387851E-4	1,60890638E+2	
2,84676733E+1	5,93206009E+6	1,84418507E-4	1,60902350E+2	
2,84679646E+1	5,93206009E+6	1,84418599E-4	1,60902288E+2	
2,86200081E+1	5,93206009E+6	1,84333932E-4	1,60896051E+2	
2,87717604E+1	5,93206009E+6	1,84258020E-4	1,60899260E+2	
2,87720516E+1	5,93206009E+6	1,84257862E-4	1,60898766E+2	
2,89240951E+1	5,93206009E+6	1,84349264E-4	1,60897083E+2	
2,90758474E+1	5,93206009E+6	1,84257772E-4	1,60885747E+2	
2,90761387E+1	5,93206009E+6	1,84258724E-4	1,60885169E+2	
2,92275996E+1	5,93206009E+6	1,84407379E-4	1,60891425E+2	
2,93787694E+1	5,93206009E+6	1,84382122E-4	1,60904067E+2	
2,93790606E+1	5,93206009E+6	1,84382033E-4	1,60904403E+2	
2,95299391E+1	5,93206009E+6	1,84365826E-4	1,60881098E+2	
2,96805262E+1	5,93206009E+6	1,84352044E-4	1,60902299E+2	
2,96808175E+1	5,93206009E+6	1,84352888E-4	1,60902155E+2	
2,98322785E+1	5,93206009E+6	1,84327321E-4	1,60897196E+2	
2,99837394E+1	5,93206009E+6	1,84385823E-4	1,60888621E+2	
2,99840307E+1	5,93206009E+6	1,84386626E-4	1,60888409E+2	
3,01343266E+1	5,93206009E+6	1,84301042E-4	1,60898146E+2	
3,02849138E+1	5,93206009E+6	1,84310257E-4	1,60887697E+2	
3,02852050E+1	5,93206009E+6	1,84308398E-4	1,60887413E+2	
3,04378311E+1	5,93206009E+6	1,84302197E-4	1,60887507E+2	
3,05904572E+1	5,93206009E+6	1,84332518E-4	1,60890369E+2	
3,05907484E+1	5,93206009E+6	1,84331807E-4	1,60890345E+2	
3,07427920E+1	5,93206009E+6	1,84363667E-4	1,60904575E+2	
3,08948355E+1	5,93206009E+6	1,84307667E-4	1,60909911E+2	
3,08951268E+1	5,93206009E+6	1,84308128E-4	1,60909438E+2	
3,10471703E+1	5,93206009E+6	1,84388411E-4	1,60895956E+2	
3,11995051E+1	5,93206009E+6	1,84421307E-4	1,60903104E+2	
3,11997963E+1	5,93206009E+6	1,84420411E-4	1,60902832E+2	
3,13524224E+1	5,93206009E+6	1,84376984E-4	1,60891073E+2	
3,15047572E+1	5,93206009E+6	1,84271460E-4	1,60881495E+2	
3,15050485E+1	5,93206009E+6	1,84272235E-4	1,60881579E+2	
3,16576745E+1	5,93206009E+6	1,84285781E-4	1,60884489E+2	
